date,alt,tree,id,bloom
2026-03-30,Prunus ‘Fudan-zakura’,fudan_zakura,124,Prebloom
2026-03-30,Prunus × subhirtella ‘Jugatsu-zakura’,jugatsu_zakura,109,Prebloom
2026-03-30,Prunus ‘Fudan-zakura’,fudan_zakura,107,Prebloom
2026-03-30,Prunus × incam ‘Okame’,okame,87,Prebloom
2026-03-30,Prunus ‘Taki-nioi’,taki_nioi,163,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,129,Prebloom
2026-03-30,Prunus pendula ‘Pendula plena rosea’,pendula,128,Prebloom
2026-03-30,Prunus ‘Ukon’,ukon,162,Prebloom
2026-03-30,Prunus ‘Ukon’,ukon,155,Prebloom
2026-03-30,Prunus ‘Snow Goose’,prunus_snow_goose,147,Prebloom
2026-03-30,Prunus × sieboldii,sieboldii,161,Prebloom
2026-03-30,Prunus × sieboldii,sieboldii,160,Prebloom
2026-03-30,Prunus × subhirtella,subhirtella,159,Prebloom
2026-03-30,Prunus ‘Ukon’,ukon,158,Prebloom
2026-03-30,Prunus serrulata ‘Horinji’,horinji,157,Prebloom
2026-03-30,Prunus × yedoensis,yedoensis,156,Prebloom
2026-03-30,Prunus ‘Ariake’,ariake,154,Prebloom
2026-03-30,Prunus ‘Shirotae’,shirotae,153,Prebloom
2026-03-30,Prunus ‘Accolade’,accolade,152,Prebloom
2026-03-30,Prunus ‘Accolade’,accolade,151,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,150,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,149,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,148,Prebloom
2026-03-30,Prunus ‘Shirotae’,shirotae,146,Prebloom
2026-03-30,Prunus ‘Shirotae’,shirotae,145,Prebloom
2026-03-30,Prunus × yedoensis,yedoensis,144,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,143,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,142,Prebloom
2026-03-30,Prunus × yedoensis,yedoensis,141,Prebloom
2026-03-30,Prunus ‘Shogetsu’,shogetsu,140,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,139,Prebloom
2026-03-30,Prunus × yedoensis,yedoensis,138,Prebloom
2026-03-30,Prunus ‘Shogetsu’,shogetsu,137,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,135,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,132,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,130,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,127,Prebloom
2026-03-30,Prunus pendula ‘Pendula plena rosea’,yae_beni_shidare,126,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,123,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,122,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,121,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,120,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,119,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,118,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,117,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,116,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,115,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,114,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,113,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,112,Prebloom
2026-03-30,Prunus ‘Taoyame’,taoyame,110,Prebloom
2026-03-30,Prunus ‘Ojochin’,ojochin,108,Prebloom
2026-03-30,Prunus ‘Hata-zakura’,hatazakura,106,Prebloom
2026-03-30,Prunus × yedoensis ‘Akebono’,akebono,105,Prebloom
2026-03-30,Prunus × subhirtella ‘Rosy Cloud’,rosy_cloud,104,Prebloom
2026-03-30,Prunus ‘Shirotae’,shirotae,103,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,102,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,101,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,100,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,99,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,98,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,97,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,96,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,95,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,94,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,93,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,92,Prebloom
2026-03-30,Prunus ‘Taoyame’,taoyame,89,Prebloom
2026-03-30,Prunus ‘Spire’,spire,88,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,85,Prebloom
2026-03-30,Prunus ‘Spire’,spire,83,Prebloom
2026-03-30,Prunus pendula ‘Pendula plena rosea’,pendula,82,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,80,Prebloom
2026-03-30,Prunus ‘Accolade’,accolade,79,Prebloom
2026-03-30,Prunus pendula ‘Pendula Rosea’,pendula,78,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,76,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,75,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,74,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,73,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,72,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,71,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,70,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,69,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,68,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,67,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,66,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,65,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,64,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,63,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,62,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,61,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,60,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,59,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,58,Prebloom
2026-03-30,Prunus ‘Kanzan’,kanzan,57,Prebloom
